interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,"[300, 135.0, 135.0]",570.0,570.0,[],0.0,[],0.0,1,0.0,[]
2,0,2,"[300, 511.066, 278.77500000000003]",1089.8410000000001,544.9205000000001,[],0.0,[],0.0,1,0.0,[]
3,1,1,"[300, 135.0, 278.77500000000003]",713.7750000000001,356.88750000000005,[308.96024208316885],308.96024208316885,[0.2111131],0.2111131,1,100.0,[1]
4,1,2,"[300, 525.0, 289.65600000000006]",1114.656,557.328,[481.6640329466667],481.6640329466667,[0.06403294666666666],0.06403294666666666,1,100.0,[1]
5,1,1,"[300, 135.0, 289.65600000000006]",724.6560000000001,362.32800000000003,[476.9001385040146],476.9001385040146,[0.3579136],0.3579136,1,100.0,[1]
6,1,1,"[300, 135.0, 289.65600000000006]",724.6560000000001,362.32800000000003,[270.22416974169755],270.22416974169755,[0.0],0.0,1,100.0,[1]
7,0,1,"[300, 506.40299999999996, 289.65600000000006]",1096.0590000000002,365.35300000000007,[],0.0,[],0.0,1,0.0,[]
8,1,1,"[300, 506.40299999999996, 289.65600000000006]",1096.0590000000002,365.35300000000007,[456.4959442],456.4959442,[0.0959442],0.0959442,1,100.0,[1]
9,1,2,"[300, 517.288, 521.403]",1338.691,446.23033333333336,[1426.7612367333331],1426.7612367333331,[0.06123673333333335],0.06123673333333335,1,100.0,[1]
10,2,1,"[300, 371.99199999999996, 135.0]",806.992,403.496,"[166.42617572393672, 768.0360040025279]",467.2310898632323,"[0.0727012, 0.2726295]",0.17266535,1,50.0,"[1, 1]"
11,1,2,"[300, 506.40299999999996, 234.96300000000002]",1041.366,520.683,[316.07130293333336],316.07130293333336,[0.07130293333333333],0.07130293333333333,1,100.0,[1]
12,1,1,"[300, 135.0, 234.96300000000002]",669.963,334.9815,[314.1887431999999],314.1887431999999,[0.18874319999999997],0.18874319999999997,1,100.0,[1]
13,0,1,"[300, 307.70000000000005, 234.96300000000002]",842.663,280.8876666666667,[],0.0,[],0.0,1,0.0,[]
14,0,0,"[300, 307.70000000000005, 234.96300000000002]",842.663,280.8876666666667,[],0.0,[],0.0,1,0.0,[]
15,1,1,"[300, 307.70000000000005, 234.96300000000002]",842.663,280.8876666666667,[547.0160421666668],547.0160421666668,[0.11604216666666668],0.11604216666666668,1,100.0,[1]
16,0,0,"[300, 307.70000000000005, 234.96300000000002]",842.663,280.8876666666667,[],0.0,[],0.0,1,0.0,[]
17,1,1,"[300, 525.0, 234.96300000000002]",1059.963,353.32099999999997,[461.9600823666667],461.9600823666667,[0.16008236666666664],0.16008236666666664,1,100.0,[2]
18,0,1,"[300, 135.0, 504.05025]",939.05025,313.01675,[],0.0,[],0.0,1,0.0,[]
19,2,2,"[300, 511.066, 234.96300000000002]",1046.029,348.67633333333333,"[1965.9355440000002, 328.98038842763253]",1147.4579662138162,"[0.335544, 0.03600091666666666]",0.18577245833333333,1,50.0,"[1, 3]"
20,1,1,"[300, 511.066, 234.96300000000002]",1046.029,348.67633333333333,[292.2119951496948],292.2119951496948,[0.125829],0.125829,1,100.0,[4]
21,1,2,"[300, 511.066, 280.88100000000003]",1091.9470000000001,363.9823333333334,[376.61291449999993],376.61291449999993,[0.0629145],0.0629145,1,100.0,[3]
